text,label
ຢາກບອກວ່າ ໄປພັດທະນາລະບົບໃຫ້ພ້ອມກ່ອນເບາະລະຄ່ອຍເອົາມາລົງໃນ play store ແລະ app store ອັບເດດແລ້ວກົດເປີດແອັບຂື້ນມາເດັ້ງອອກລະໃຫ້ອັບເດດອີກ.ວົນຢູ່ແບບນັ້ນ ເຮັດປານຫລິ້ນຂອງຈໍາປ໋າ ແອັບທະນາຄານອື່ນທີ່ເຄີຍມີກະບໍ່ກາກປານນີ້ ງຶດແຮງຊ່າງກ້າເອົາມາລົງໃຫ້ລູກຄ້າໂຫລດໃຫ້ເສຍເວລາ,0
ຂີ້ຖີ່ແທ້,0
ອັບເດດໃຫມ່ ລົງທະບຽນເບີໃສ່ຮູບບໍ່ໄດ້ໄປກວດເບິ່ງເດີ,0
ໃຊ້ດີ ພັດທະນາ ຕໍ່ໆໄປ,1
ທໄພສານເພັງໂສພາ,1
ກາກ,0
ແອັບນີ້ໃຊ້ດີມີປະໂຫຍດ,1
ພັດ ຂ່າ,1
ເດີນທາງປອດໄຟ,1
ຝົນຄົນດ້ວຍຫຼີນກາຝົນຜ້າດ້ວຍຫຼີນຊາ,1
ແອັບສົ້ນຕີ ຍູນິເທລໂຄດກາກ ເນັດກະຊ້າແອັບກະບໍ່ພັດທະນາ ຍິ່ງອັບເດດແຮງໂຄດກາກ,0
ຕ້ອງການລະຫັດຜານ,1
ແກ້ໄຂໃຫ້ແດ່ເຂົ້າບໍ່ໄດ້ເລີຍ,0
ສະດວກ ໃນການຕິດຕໍ່ພົວພັນກັບລູກຄ້າ ທາງອອນໄລນ໌ ກ່ຽວກັບບັນຊີທຸລະກິດ ໃນການຊື້ຂາຍ.,1
ດີ່ມາກ,1
ວ່າງໆ ກະຫາຜູ້ບ່າວຫລໍ່ໆໄຫ້ແນ່ ໄນເຟສນິມີແຕ່ຄົນຫນ້າຄືປົ້ນປານິ ຮັບບໍ່ໄດ້555,0
ດີໄຈທີມີເຟດບຸກ,1
ກູດໆ,1
ຕອ້ງການຫີ້ຼນແອັບ,1
ສັ້ນໄດ້ຍັງບໍ່ສົ່ງໄຫ້ຊ້ໍາດາຕ້າຫະງົງເລີຍ,0
ຄືລໍຖ້າອະນຸມັດດົນແທ້. ຂ້ອຍຖ້າເປັນອາທິດແລ້ວຍັງບໍ່ສໍາເລັດການລົງທະບຽນປານນີ້ມີແຕ່ໃຫ້ລໍຖ້າອະນຸມັດ,0
ຄັກຫລາຍ. ມີຫລາຍລາຍການອາຫານໃຫ້ເລືອກ,1
ໄຊພອນ,1
ຕິດຕັ້ງເຟດບຸກຄືນ,1
ອັບເດດໃຫມ່ແລ້ວຄືເຂົ້າໃຊ້ບໍ່ໄດ້,0
ສບາຍດີ,1
ເປັນຍັງຄືໃຫ້ອັບເດດດຸແທ້ປັບປຸງແນ່ເດີ,0
ຊອກແອບ,1
ໃຊ້ບໍ່ໄດ້ ເຕືອນແຕ່ວ່າ ບໍ່ໄດ້ຕໍ່ ອິນເຕີເນັດ ແຕ່ສົ່ງotpມາ,0
ໃຊ້ຄັກຫລາຍ,1
ສະດວກສະບາຍທຸກທີ່ທຸກເວລາ lvb digibank,1
ຕີດຕ່ ສື່ສານຂ່ມຸນສະດວກດີ,1
ສະດວກສະບາຍ ທັນສະໄຫມ,1
ປັບປຸ່ງໃຫມ່ ເຂົາໂທມາບໍ່ແຈ້ງເຕືອນ,0
ສ້າງມາເປືອງຄວາມຈໍາຊິບຫາຍເຮັດຕາມທຸກຢ່າງແລ້ວບ່ອນໃຫ້ລົງທະບຽນຍັງລົງບໍ່ໄດ້ອີກ,0
ອອກຈາກລະບົບແລ້ວບໍ່ໄດ້,0
ດີມາດທີ່ໃຊ້ແອບນີ້,1
ໃຊ້ງານກາບໍ່ໄດ້,0
ດີເລີດເກີດມາພວມໄດ້ໃຊ້,1
ຢາກປິດກະປິດຢາກເປີດກະເປີດຫວ່າຊົ່ວແລ້ວຍົກເລີກ,0
ລົງທະບຽນເບີບໍ່ໄດ້ແກ້ໄຂດ່ວນແດ່ເດີ້ ພັດທີແຕ່ແອັບດຽວນິນໍ ໃຫ້ລົງທະບຽນກະ,0
ຊຶ່ນຊອບ,1
ບໍລິການດີ. ວ່ອງໄວ ແຕ່ຄວາມປອດໄພບໍ່ຮູ້,1
ດີໃຊ້ດີຫຼາຍສະດວກສະບາຍ,1
ປະທັບໃຈຫລາຍ,1
ສະດວກງາຍຂື້ນ,1
ແອັບຄືຊົ່ນຕີນນິແຫ່ງອັບເດດແຫ່ງບໍເປັນຕາຊະແຕກ,0
ໄຊ້ງານດີຫຼ່າຍ,1
ຂ້ອຍບໍ່ຮູ້ລະຫັດຂອງແອັບນີ້,1
ຕາມສະບາຍຊັ້ນຈ່ະ,1
ສຸດຈອດ,1
ໄວວແດ່,1
ຫນັງໂປ້ໄທ,1
ໃຊ້ງານກາກຫຼາຍ ເອົາດາວ1ໄປກ່ອນ,0
ສຽງບໍ່ສັດເຈນ,0
ຈູບດາກແນ່,1
ອັດສະນີ,1
ໂດຍ ຈຮາ ຄ່ະ ຈະ ຄ້າບບ,1
ແອັບນີ້ດີຕື່ມມູນຄ່າໂທກະໄດ້ເປີເຊັນ,1
ໂຄດເຮ້ຍ,0
ວິທີໄຊ້,1
ເນັດຊ້າຫຼາຍ,0
ອິໍາຮາິນືທສ ທັງຫມົດ ສໍາລັບ ການ,1
ດີຄຮາບ,1
ອາຫານອາຫຼອຍມາກ,1
ເອີ້ນໂຄດຍາກເລີຍ ບໍ່ແນ່ໃຈວ່າເປັນຍ້ອນບໍ່ໄດ້ຮັບການແຈ້ງເຕືອນຫຼືຕັ້ງບໍ່ຮັບເພາະເງິນຫນ້ອຍ,0
ແຊດມາ,1
ນາງຕີບໄອພີ,1
ໃຜກະຕ້ອງມີ,1
ດີຫຼາຍ ພະນັກງານສຸພາບ ໄດ້ອາຫານໄວ,1
ສະດວກວອ່ງໄວດີ,1
ສສື,1
ຍາກຮູ້ວ່າຢູ່,1
ບໍ່ສົ່ງລະຫັດotpມາໃຫ້ລະສິລົງຈັ່ງໃດ,0
ຢາກໃຫ້ການບໍລິການfacebookເຮັດໃຫ້ໄດ້ວ່ອງໄວແລະທັນກັບສະພາບການໃດນື່ງ ທີ່ສໍາຄັນ,1
ດີແອັບຯນີ້100,1
ທພະນາ,1
ຢີວພົມມີ,1
ມີປະໂຫລດຫລາຍ,1
ປັບປຸງອີກຫລາຍໂທລົມກັນສັນຍານດີກະວ່າບໍ່ດີ,0
ເຂົ້າແອັບກະບໍ່ໄດ້ຄວນປັບປຸງແນ່ເດີເງີນກະເຕີມເຂົ້າລະຍັງບໍ່ໄດ້ປານນີ້ເສຍເງີນຫລ້າໆ,0
ດີຫຼາຍຯ,1
ບໍ່ມີເພງໄທເພງລາວໃນສຕໍລີ່,0
ຮູບພາບດັ່ງກ່າວ,1
ສຶ່ສານໂດຍຕົງດີຫຼາຍ,1
ເຫັນວ່າມີຜົນປະໂຫຍດຫລາຍສະດວກ ງ່າຍ ນໍາໃຊ້ສະບາຍ,1
ດີຢູ່ຖ້າມັນໃຫ້ດີຈີງຕ້ອງມີຄົບຮວ່ມເຖິ່ງເພງຊົນເຜົ່າອິ້ວມ້ຽນຈະດີຫາຼຍໆໆ.,1
ເຊັ້ນສຸດທາຍ,1
ຄິດຮອດຄົນທີເຂົາບ່ເຄີຍຮັດເຮົາເລິຍ,1
ດີຫລາຍກົວເກົ່າທັງຫມົດສໍາລັບການໃຊ້ເວລາທີ່ທ່ານຕ້ອງການເພື່ອເຮັດໃຫ້ເປັນການດີ,1
ໂຄສະນາຫລາຍກາຍ,0
ໂຄດຊ້າສະແກນໂຍດຍາກໂອນເຂົ້າກະເປົາກະບໍ່ໄດ້ແຖມໂອນເຂົ້າແອັບອື່ນກະບໍ່ໄດ້ປັບປຸ່ງໃຫ້ສົມຊື່ທະນາຄານພັດທະນາແດ່,0
ມີຄຸນປະໂຫຍດຫລາຍ,1
ບໍ່ມັກອ່ານຄໍາຂໍລູກຄ້າຂໍຍັງກະບໍ່ໃຫ້,0
ປັບປຸງແດ່ເຂົ້າແອບບໍ່ໄດ້,0
ພັດທະນາໄວໆແນ່ເດີ້,1
ນ້ອງ ມູາ,1
ໃຫ້ຄະແນນ5ດາວ,1
ຄັງເພດ,1
ຄ້າງດຸໂພດ,0
ຫລິ້ນໄປຫລິ້ນມາລະເຂົ້າລະບົບບໍໄດ້ກົດເຂົ້າໄປລະເປັນຈໍສີຂາວໆບໍຂື້ນຈັກເທື່ອ,0
ໂຄດດີ ຫາແຟນໃຜຢາກໄດ້ເຟສທັກມາ ຊື່ເຟສ ແປ້ງ ລູກສາວຫຼ້າ ເປັນຮູບຜູ້ຍິງປ່ອຍຜົມໃສ່ເອັບເຟັກໃຍແມງມຸມເກາະຫນ້າ ຢ່າລືມທັກມານ່ະຈ່ະ,1
ອູ່ນເຮຶອນ,1
ກັນກາບໍຕິໂຕ ກັນຖ້າລະຫັດໂຕສົ່ງມາຈົນໂທລະສັບເສ້ຍ,0
ຊ້າງ,1
ດີໃຊ້ງາຍເຫມາະກັບທຸກໆຄົນ,1
ມ່ວນແທ້,1
ຕາສະແຕກ ຢູພ້ອຍ9800ແລກດາຕ້າກະບໍ່ໄດ້ຄືແຕ່ກີ້ ຍາມຈໍາເປັນມາຢືມເງິນກະບໍ່ໄດ້ມີແຕ່ບອກວ່າຊໍາລະຫນີ້ກ່ອນທັ້ງໆທີ່ເຕີມຕະຫລອດຢືມຍ້ອນຖືກກາງຄືນໄປຊື້ບັດບໍ່ໄດ້ຊື່ໆເສືອກຢືມບໍ່ໄດ້ ແນະນໍາໃຫ້ລົບຖິ້ມສາເດີລະບົບຕາຍໆນິ ຢາກຮ້າຍເດະ,0
ດາວຫນຶ່ງໄປກອນ ເປັນຫຍັງແອັບຂອງຂ້ອຍອັບຮູບລົງບໍ່ໄດ້,0
ຕັ້ງແຕ່ອັບເດດແອບມາກະເຂົ້າບໍ່ໄດ້ອີກເລີຍ,0
ຄິດຮອດເລີ,1
ດີລາຍສະດວກໄນການຊື້ເລກອິອິ,1
ຢາກໃຫ້ປັບປຸ່ງສັນຍ່ານໃຫ້ໄວ່ກ່ອນນີ້ອິກ,1
ອາ້ຍກື່ມ ສີປະເສີດ,1
ໃຊ້ຮຽນເຫມາະສົມ,1
ລ໋ອກອິນກະບໍ່ໄດ້ຊ້ໍາພິມເບີໂທໃສ່ລະກົດເຂົ້າສູ່ລະບົບບໍ່ເຫັນຊິມີຫຍັງເກີດຂື້ນຢູ່ຊື່ໆ,0
ມັກຫລາຍໃຊ້ດີ,1
ລົງທະບຽນເບີໂທເຮັດຈັງໃດແຈ້ງແດ່ເຂົ້າບໍ່ໄດ້ເລີຍ,0
ຮຽນຮູ້ຫລາຍຢ່າງ,1
ແອັບນີ້ສະດວກສະບາຍຫລາຍສໍາຫລັບຜູ້ຕັ້ງໃຫມ່ຖ້າບໍ່ມີຫມູ່ແນະນໍາໃຊ້ລະຫັດນີ້ເດີ66960762,1
ດີຫລາຍມັກຄັກຫຼາຍແອັບນີ້,1
ດີນ້າ,1
ອາຊີ,1
ບໍຮູ້ວ່າເຂົ້າໄປລົງທະບຽນແລ້ວໆກົດຍືນຍັນແລ້ວກະຍັງມາບອກວ່າເບີຂອງທ່ານບໍ່ໄດ້ລົງທະບຽນກົດກາຍ10ລອບແລ້ວຍັງບໍ່ໄດ້ ຂໍເວົ້າຍາບຄາຍ ກູບອກເລີຍວ່າແອບໂຄດຄວາຍລົງທະບຽນກະເປັນປີ ແຖມຍັງມາບອກວ່າທ່ານຍັງບໍ່ໄດ້ລົງທະບຽນໂອຍຍຍກູລະເມື່ອຍ ຍັງມີອີກແລ້ວກົດເລື່ອກພາສາ ກົດພາສາອັງກິດ ແລ້ວທັດໄດ້ພາສາລາວ ກວດພາສາລາວຊ້ໍາພັດໄດ້ອັງກິດ ອັ່ນນີ້ກະງົງ ແລ້ວຍັງມາບ໊ອກເບີອີກແລ້ວບາງຄົນທີ່ເຂົາບໍ່ທັນໂຫລດແອບຄວາຍນີ້ເທື່ອແລ້ວໃຫ້ເຂົາໂຫລດແບບໃດ ຟາກໃຫ້ຄິດແລ້ວປ່ຽນແປງດ່ວນ ກະລົງທະບຽນແລ້ວໆກະສົ່ງຂໍ້ຄວາມມາບອກແນ່ວ່າເຮົາລົງໄດ້ຫລືວ່າບໍ່ໄດ້,0
ໄວແດ່,1
ມັນຄືເຂົ້າບໍ່ໄດ້ ມັນເດັ່ງອອກ,0
ໂຄດຫ່ວຍແຕກ,0
ດີຫຼ່າຍ,1
ດີຫລາຍເດີຊົມເຊີຍ,1
ໂອ້ຍກູສິໄດ້ຂື້ນທະບຽນຢູ່ບໍເນາະ,0
ເນັດອອກຍາກໂພດ,0
ຕິດຕາມຂາ່ວສານອື່ນໆ,1
ສິນລະປິນບ້ານນາ ທະເລສິນ ຖິ່ນປາກເຊ talesin tinparkse ຝາກຕິດຕາມແດ່ເດີພີ່ນອ້ງ,1
ພັດທະນາຕໍໄປ,1
ໄຊ້ດີເລີຍ,1
ຄຶເດັງວະ,1
ຕັ້ງບໍ່ໄດ້ໂຫລດມາແກ້ໄຂແນ,0
ໄມດີເລີອຍ,1
ຂອ້ຍຕອ້ງການໃສແອັບ,1
ພັດທະນາ ຝາກ 3ວັນໃຫ້ແດ,1
ມວຍຸ,1
ດີຢູ່ແຕ່ບໍ່ມີເພງໃສ່ຄືຂອງຫມູ່,1
ແຕ່ກ່ອນໃຫ້5ດາວດຽວນີໃຫ້2ບໍ່ມັກປານໄດ້ຂອງລະບົບໃຫມ່,0
ຮັກກັນ,1
ເສົາໆຂ້ອຍບໍ່ຮູ້ວ່າສ້າງແອັບເພື່ອຫຍັງເວລາເຕິມ ຄ່າທໍາເນຍກໍແພງໆບາດສະມັກແພັກເກັດລະໄດ້ເທົ່າກັນກັບຄົນບໍ່ໃຊ້ແອັບເວົ້າງ່າຍແອັບນີ້ບໍ່ມີປະໂຫຍກ,0
ໄຫ້ດີຂຶ້ນ,1
ຕອງການໃຊ ເວັບ,1
ເປີດໂມດມື້ຊາຊີບໄຫ້ແນ່,1
ເຮົາຕ້ອງການດາວໂຫລດເຟສບຸນເທົ່ານັ້ນ,1
ໃຊ້ດີລາຍໆ,1
ເຄີຍຖູກຫວຍ,1
ໃຊ້ດີ ພັດທະນາໄປເລື້ອຍໆເດີ້,1
ໄມວອນໂຕນ້ອຍເດີ,1
ງອຸືປາທຶນຄໍ,1
ຮັກເດື,1
ລະອຽດດີ,1
ຊິວິດດີຂື້ນ,1
ພາວັນ,1
ປັບປຸງໃຫມ່ຄືບໍ່ແຈ້ງເຕືອນເວລາເງິນເຂົ້າເງິນອອກ,0
ບໍຕ້ອງຍາງໄປທາງນອກໃຫ້ເມືອຍແລ້ວໂຊໄຊຊ່ວຍໄດ້ທຸກຢາງ,1
"ໃຊ້ງານສະດວກ,ສະບາຍ",1
facebook ບົ່ງບອກເຖິງຕົນໂຕທີ່ແທ້ຈິງໆ,1
ເສຍດາຍໂອນຕ່າງທະນາຄານບໍ່ໄດ້,1
ການໃຊ້ງານໄດ້ດີ ເສຍຢ່າງດຽວຄືເຂົ້າໃຊ້ງານຫຼາຍເຄື່ອງພ້ອມກັນຄື uber ຫລື grab ຍັງບໍ່ໄດ້ ເລີຍຫຍຸ້ງຍາກສໍາລັບຄົນມີຫຼາຍເຄື່ອງທີ່ຕ້ອງສະລັບໄປມາຕະຫຼອດ.ອີກຢ່າງຄືລົດມີແຕ່ສະເພາະໃນເມືອງ ເຂດວຽງຈະເລີນຕອນຈະໃຊ້ບໍ່ມີລົດ ຖ້າປ່ຽນໄປແຖວທາດຫຼວງລະມີລົດ ຊ່ວຍແກ້ໄຂຈຸດນີ້ແດ່,1
ໃສ້ລະຫັດນີ້ເລີຍ46102772,1
ລະບົບບໍ່ສະຖຽນ,0
ໂດຍ ເຈົ້າກ່ອນຫມົດກໍ່ຂໍກາບສະບາຍດີ unitel ຕົວຂ້າພະເອງກໍ່ເປັນຄົນຫນື່ງທີ່ນໍາໃຊ້ແອບນີ້ ມີບາງຄັ້ງອາດຈະຊ້າແລະບໍ່ທັນໃຈກໍ່ຈິງ ແຕ່ຂ້ອຍຄິດວ່າ ເປັນແອບທີ່ໃຫ້ຜົນປະໂຫຍດຫລາຍ ມັກຟັງເພງໃນນີ້ແຮງບໍ່ຕ້ອງດາວໂຫລດເພງເຂົ້າທລສເລີຍເພງລາວເພງໄທເພງເກົາຫລີ ແລະທີ່ຖືກໃຈເພງ ສາກົນມັກແຮງ ບໍລິການດີ ບາງທີ່ຫມຸນວົງລໍ້ ກໍ່ໄດ້ເນັດຟຮີນໍາໄຫລ ບອກເລີຍວ່າປະທັບໃຈແຮງ ອາດຈະຍັງບໍ່ດີແບບລະດັບສາກົນແຕ່ເຮັດໄດ້ຊ່ໍານີ້ກໍ່ຖືວ່າດີຫລາຍແລ້ວ ປັບປຸງໄປເທື່ອລະຂັ້ນເດີນຫນ້າໄປນໍາກັນຂໍເປັນກໍາລັງໃຈໃຫ້ທຸກພາກສ່ວນທີ່ກ່ຽວຂ້ອງ ລາວເຮັດລາວໄດ້ ລາວໃຊ້ລາວຈະເລີນ,1
ຄໍາອົມຮຽມ,1
ຈ່າຍ,1
ລົງທະບຽນເບີໂທລະສັບຍັງບໍ່ໄດ້,0
ຟັງເພງແບບບໍ່ເສຍດາຕ້າຫນັງຫນັງກະຊະບາຍ,1
ກໍາລັງຊິທົດທົດລອງໃຊ້ຈຮາ,1
ປວບຖັ່ງມຶງຄືມັກຄ້າງ,0
ເປັນຫຍັງຄືດາວໂຫຼດບໍ່ໄດ້.ຫຼືວ່າຕ້ອງໄປແຈ້ງຢູ່ສູນພຸ້ນບໍ,0
ຮັກ ປີຊາຈັນ,1
ກາກຫລາຍຕັ້ງແຕ່ອັບເດດໄຫ່ມ,0
ດີໃຫ້ນໍາ,1
ດາວໂລດບໍ່ໃດ້,0
ຂອງມາກ,1
ອະນາຄົດຍັງອີກກວ້າງໄກ ຖ້າເຮົາເອົາໃຈໃສກັບການຮຽນ,1
ສະນັບສະຫນູນຍາງວອນໄວ,1
ວາງ,1
ເບິ່ງຄືມີແຕ່ລາວໃຊ້ເນາະ,1
ຕີດຕັ້ງຍາກແຮງ ບໍ່ສົ່ງລະຫັດມາຈັກເທື່ຶອ,0
ຄືໄຊ້ບໍ່ໄດ້ ບໍ່ໄດ້ແຕ່ລີ້ມຕົ້ນ,0
ບອກວ່າໄດ້ດ້າຕາຄືບໍໄດ້ຫວ່າ ເກີນ,0
ພະນັກງານເວົ້າບໍ່ມ່ວນ,0
ໄຊ້ງ່າຍດີ,1
ກໄຍໄບ,1
ໃຊ້ງາຍປະຢັດເງີນເຊື່ອຖືໄດ່,1
ຕຕຕ ຄຄໍລໍລໍລລ ຕ,1
ໃຊ້ງານໄດ້ທັນໃຈ.,1
ທາບໍມີຄືບລີ່ນບຊໄດ້,1
ດີໃຈທຮບໍ່ໄດ້,1
ເຂົ້າບໍ່ໄດ້.ລະຫັດບໍ່ຖືກຕ້ອງທັງທີໄສ່ຖືກ.ພໍຖ້າລະຮັດຜັດບໍສົ່ງມາ?,0
ຫັດ,1
ເອົາທີ່ສະບາຍ,1
ດີ ຫຼາຍ ຢາກຍິ່ງຂື້ນໆໄປອີກ ຂອບໃຈ,1
ແຍ່ມາກ ໂຫລດມາກະວ່າຊິລົງທະບຽນເບີແຕ່ບໍມີບ່ອນລົງ,0
ຢາກໄດ້ message ແບບເກົ່າ,1
ແບບໄດ້,1
ແອັບຯໃຊ້ງ່າຍໃຊ້ສະບາຍ,1
ສິແກ້ວຢາເລິດ,1
ໂຄດຂອງໂຄດຂອງໂຄດດີ,1
ໃຊ້ດີໃຊ້ຕະຫລອດເປັນສິບກວ່າປີແລ້ວ,1
ໄມບັງຄັບ,1
ສັ່ງແລ້ວມັກສັ່ງບໍ່ໄດ້,0
ເປັນບ້າຕີຂ້ອຍເອົາເງິນເຂົ້າບັນຊີລະເຂົ້າລະບົບບໍ່ໄດ້ລອກວ່າຫມົກອາຍຸນໍາໃຊ້ທັງທີ່ໃຊ້ດີມາຕະຫຼອດພໍແຕ່ໂອນເງິນໃສ່ເຂົ້າບໍ່ໄດ້ຢ່າຄິດສິໂກງແບບນີ້,0
ກໍາລັງສົດຊື່ນ,1
ຢາກໄດ້ສອງເຟສ,1
ເຂົ້ານານໄດ້ ຕື່ມບັດກະຍາກ ເຂົ້າຍາກສຸດໆ,0
ມະນີວັນ ເກດສະໃຫມ່,1
ແຟນຄະ,1
ຢອດຢ້ຽມ,1
ມັນເດັ້ງ ເຂົ້າບໍ່ໄດ້ໃນຕອນນີ້,0
ຢາກໃດ,1
ໄຊ້ດີຫລາຍແຕ່ເຮົາລືມລຶບມັນອອກໄປໄປເລີຍໂຫລດມາໄຊ້ໃຫມ່ວ່າຈະໄດ້ບໍ,1
ເປັນແອັບທີໃຊ້ດີ,1
ນ້ອງນ້ອຍ ໄຊຍະສິດ,1
ເບີ່ງແອັບດຸ ແມ່ນບໍ່,0
ສະດວກງ່າຍໃນການໂທ,1
ເຂົ້າແອັບຊ້າໂພດແລະກະຕຸກຫລາຍ,0
ຫາກໍ່ທົດລອງໄຊ້,1
ເພັດໍາເນີນງານ,1
",ດີຫລາຍ",1
ມີເກມສີ້ກັນບໍຢາກຫລິ້ນ,0
ນະພະນາປີ,1
ດູິ,1
ຕ້ອງການໃຊ້,1
ເຂົ້າໄປໃນແອັບບໍ່ໄດ້ຈົນໄດ້ລົບລະໂຫລດໃຫມ່ ປັບປຸງດ່ວນ,0
ດີຫລາຍສັ່ງອາຫານໄດ້ໄວ,1
good app ເປັນແອັບທີ່ສະດວກສະບາຍຫຼາຍຈະຈ່າຍຄ່າຫຍັງກະງ່າຍບໍ່ຈໍາເປັນຕ້ອງໃຊ້ເງິນສົດ,1
ຫລີ້ນບໍ່ໃກ້,1
ສວຍຈັ່ງ,1
ຮືາຮືຮນາ ອຮ,1
ດີຢູ່ແລ້ວ,1
ລົກ,1
ລະຫັດແນະນໍາ51004946ປ້ອນໃສ່ແນ່ເດີ້,1
ສູດຍອດຮັບຮູ້ທັນເຫດກາຮຍ່າງວ່ອງໃວ,1
ຫລິ້ນມວນມີຄວາມສຸກດີມັກຫລາຍ,1
ສຸດໃບອ່ອນ,1
ໃຫ້ບໍລິການດີວອງໄວ້ທັນໃຈ,1
ໄດ້ດີເລີດ,1
ທິງສາຍເຈດີ,1
ສັນຊອບ,1
ຍິນດີທຸກຢ່າງ,1
ໄມອາດໄຊຍະແສງ,1
ອໍາພອນແສງດາລາ,1
ເອີ້ນວ່າຄົນອັບຈາກໍຂ,1
ດີມາດເລີຍ ບ້ານທົ່ງມັ່ງ,1
ຊ້າໂພດແອບນີ້,1
ໃຊ້ງ່າຍ ສະດວກ ປອດໄພ,1
ປ່ຽນເບີວອດແອບ,1
ຄົນມີນ້ໍາຕາ,1
ອັບເດດໃຫມ່ລະບົບກັບມາເກົ່າກວ່າເດີມສະຕິກເກີ່ບາງຕົວຫາຍຫມົດແກ້ໄຂດວ່ນໆ!,0
ໄດ້100,1
ດີມາກກເລີຍມັນມິປະໂຫຍດຫຼາຍຢ່າງແລະສໍາຄັນຫຼາຍ,1
ອັດສອດແອັບບໍ່ໄດ້ແກ້ໄຂໃຫ້ແດ່,0
ສັ້ນບໍໄດ້ຈັກເທຶອເລີຍ,0
ບໍ່ເປັນຕາສະແຕກສັນຍານຊ້າຫມາບໍ່ແດກຄວຍ,0
ແອັບລົງທະບຽນເບີບໍ່ໄດ້ ເຂົ້າລະເດັ້ງອອກຕະຫຼອດ ປັບປຸງແດ່ເດີ້,0
ດີຫຼາຍແລະສະດວກສະບາຍທີ່ສຸດ,1
ອັບເດດ ດຸເກີນ,0
ແສນ,1
